iter	Passed	Remaining
700	7795	3325
701	7807	3314
702	7822	3304
703	7841	3297
704	7853	3286
705	7874	3278
706	7884	3267
707	7893	3255
708	7901	3243
709	7911	3231
710	7919	3219
711	7929	3207
712	7936	3194
713	7946	3183
714	7956	3171
715	7965	3159
716	7974	3147
717	7984	3136
718	7991	3123
719	8001	3111
720	8012	3100
721	8020	3088
722	8029	3076
723	8038	3064
724	8046	3052
725	8055	3040
726	8062	3027
727	8072	3015
728	8082	3004
729	8090	2992
730	8100	2980
731	8107	2968
732	8116	2956
733	8127	2945
734	8145	2936
735	8159	2926
736	8169	2915
737	8177	2903
738	8185	2891
739	8193	2878
740	8202	2866
741	8209	2854
742	8217	2842
743	8228	2831
744	8237	2819
745	8244	2807
746	8257	2796
747	8265	2784
748	8274	2773
749	8282	2760
750	8291	2748
751	8301	2737
752	8309	2725
753	8323	2715
754	8335	2704
755	8347	2694
756	8355	2682
757	8364	2670
758	8371	2658
759	8382	2647
760	8392	2635
761	8399	2623
762	8407	2611
763	8417	2600
764	8425	2588
765	8433	2576
766	8441	2564
767	8451	2553
768	8458	2540
769	8481	2533
770	8489	2521
771	8499	2510
772	8506	2497
773	8515	2486
774	8523	2474
775	8530	2462
776	8540	2451
777	8548	2439
778	8557	2427
779	8566	2416
780	8576	2405
781	8586	2393
782	8594	2381
783	8602	2370
784	8612	2358
785	8619	2346
786	8628	2335
787	8636	2323
788	8644	2311
789	8652	2299
790	8661	2288
791	8669	2276
792	8677	2265
793	8685	2253
794	8694	2241
795	8702	2230
796	8711	2218
797	8719	2207
798	8728	2195
799	8737	2184
800	8745	2172
801	8755	2161
802	8762	2149
803	8772	2138
804	8780	2126
805	8788	2115
806	8797	2104
807	8804	2092
808	8813	2080
809	8821	2069
810	8829	2057
811	8837	2046
812	8848	2035
813	8857	2024
814	8866	2012
815	8875	2001
816	8885	1990
817	8894	1979
818	8903	1967
819	8912	1956
820	8921	1945
821	8928	1933
822	8938	1922
823	8946	1910
824	8955	1899
825	8964	1888
826	8973	1877
827	8981	1865
828	8989	1854
829	8999	1843
830	9007	1831
831	9015	1820
832	9023	1809
833	9032	1797
834	9041	1786
835	9051	1775
836	9059	1764
837	9068	1753
838	9075	1741
839	9084	1730
840	9092	1719
841	9101	1707
842	9110	1696
843	9119	1685
844	9127	1674
845	9136	1663
846	9144	1651
847	9154	1640
848	9162	1629
849	9170	1618
850	9178	1607
851	9188	1596
852	9196	1584
853	9205	1573
854	9214	1562
855	9221	1551
856	9230	1540
857	9238	1528
858	9247	1517
859	9255	1506
860	9265	1495
861	9273	1484
862	9284	1473
863	9293	1462
864	9304	1452
865	9315	1441
866	9323	1430
867	9330	1418
868	9339	1407
869	9348	1396
870	9357	1385
871	9364	1374
872	9374	1363
873	9383	1352
874	9392	1341
875	9400	1330
876	9409	1319
877	9421	1309
878	9440	1299
879	9460	1290
880	9471	1279
881	9478	1268
882	9486	1257
883	9495	1246
884	9505	1235
885	9514	1224
886	9522	1213
887	9532	1202
888	9543	1191
889	9553	1180
890	9563	1169
891	9573	1159
892	9582	1148
893	9589	1137
894	9600	1126
895	9608	1115
896	9617	1104
897	9628	1093
898	9636	1082
899	9645	1071
900	9654	1060
901	9664	1050
902	9676	1039
903	9686	1028
904	9702	1018
905	9719	1008
906	9729	997
907	9738	986
908	9747	975
909	9756	964
910	9765	954
911	9773	943
912	9781	932
913	9793	921
914	9811	911
915	9828	901
916	9850	891
917	9862	880
918	9871	870
919	9879	859
920	9887	848
921	9895	837
922	9904	826
